|||2020-03-31 16:50:04,915 | ConsumeMessageThread_1 | INFO  | c.i.m.c.s.impl.KlineServiceImpl | KlineServiceImpl.java  78||【成交】---> code:BTC_USDT_ICNCDE_ENCRY, trade:{"ask":"3332.83","bid":"-0.00000001","code":"BTC_USDT_ICNCDE_ENCRY","id":"5253","makerOrderId":1012177394587582464,"price":"3332.83","takerOrderId":1012177403877965825,"timestamp":"1585644604756","type":"B","virtual":0,"volume":"0.8"}
|||2020-03-31 16:50:04,916 | ConsumeMessageThread_1 | INFO  | c.i.m.c.s.impl.KlineServiceImpl | KlineServiceImpl.java  78||【成交】---> code:BTC_USDT_ICNCDE_ENCRY, trade:{"ask":"3160.77","bid":"-0.00000001","code":"BTC_USDT_ICNCDE_ENCRY","id":"5255","makerOrderId":1012177403877965824,"price":"3160.77","takerOrderId":1012177407346655234,"timestamp":"1585644604870","type":"B","virtual":0,"volume":"0.3"}
|||2020-03-31 16:50:04,943 | ConsumeMessageThread_1 | INFO  | c.i.m.c.s.impl.KlineServiceImpl | KlineServiceImpl.java  78||【成交】---> code:BTC_USDT_ICNCDE_ENCRY, trade:{"ask":"3160.77","bid":"-0.00000001","code":"BTC_USDT_ICNCDE_ENCRY","id":"5254","makerOrderId":1012177403877965824,"price":"3160.77","takerOrderId":1012177407346655232,"timestamp":"1585644604852","type":"B","virtual":0,"volume":"0.2"}
|||2020-03-31 16:50:04,945 | ConsumeMessageThread_1 | INFO  | c.i.m.c.s.impl.KlineServiceImpl | KlineServiceImpl.java  78||【成交】---> code:BTC_USDT_ICNCDE_ENCRY, trade:{"ask":"3209.64","bid":"-0.00000001","code":"BTC_USDT_ICNCDE_ENCRY","id":"5256","makerOrderId":1012177403672444928,"price":"3209.64","takerOrderId":1012177407346655234,"timestamp":"1585644604871","type":"B","virtual":0,"volume":"0.5"}
|||2020-03-31 16:50:04,948 | ConsumeMessageThread_1 | INFO  | c.i.m.c.s.impl.KlineServiceImpl | KlineServiceImpl.java  78||【成交】---> code:BTC_USDT_ICNCDE_ENCRY, trade:{"ask":"3209.64","bid":"-0.00000001","code":"BTC_USDT_ICNCDE_ENCRY","id":"5257","makerOrderId":1012177403672444928,"price":"3209.64","takerOrderId":1012177407355043840,"timestamp":"1585644604885","type":"B","virtual":0,"volume":"0.4"}
|||2020-03-31 16:50:04,949 | ConsumeMessageThread_1 | INFO  | c.i.m.c.s.impl.KlineServiceImpl | KlineServiceImpl.java  78||【成交】---> code:BTC_USDT_ICNCDE_ENCRY, trade:{"ask":"3330.79","bid":"-0.00000001","code":"BTC_USDT_ICNCDE_ENCRY","id":"5258","makerOrderId":1012177407317295104,"price":"3330.79","takerOrderId":1012177407355043840,"timestamp":"1585644604885","type":"B","virtual":0,"volume":"1.1"}
|||2020-03-31 16:50:04,999 | ConsumeMessageThread_1 | INFO  | c.i.m.c.s.impl.KlineServiceImpl | KlineServiceImpl.java  78||【成交】---> code:BTC_USDT_ICNCDE_ENCRY, trade:{"ask":"3330.79","bid":"-0.00000001","code":"BTC_USDT_ICNCDE_ENCRY","id":"5259","makerOrderId":1012177407317295104,"price":"3330.79","takerOrderId":1012177408151961600,"timestamp":"1585644604988","type":"B","virtual":0,"volume":"0.4"}
|||2020-03-31 16:50:05,075 | ConsumeMessageThread_1 | INFO  | c.i.m.c.s.impl.KlineServiceImpl | KlineServiceImpl.java  78||【成交】---> code:BTC_USDT_ICNCDE_ENCRY, trade:{"ask":"3330.79","bid":"-0.00000001","code":"BTC_USDT_ICNCDE_ENCRY","id":"5260","makerOrderId":1012177407317295104,"price":"3330.79","takerOrderId":1012177408449757184,"timestamp":"1585644605061","type":"B","virtual":0,"volume":"0.2"}
|||2020-03-31 16:50:05,077 | ConsumeMessageThread_1 | INFO  | c.i.m.c.s.impl.KlineServiceImpl | KlineServiceImpl.java  78||【成交】---> code:BTC_USDT_ICNCDE_ENCRY, trade:{"ask":"3362.47","bid":"-0.00000001","code":"BTC_USDT_ICNCDE_ENCRY","id":"5261","makerOrderId":1012176396829769728,"price":"3362.47","takerOrderId":1012177408449757184,"timestamp":"1585644605061","type":"B","virtual":0,"volume":"0.6"}
|||2020-03-31 16:50:05,234 | ConsumeMessageThread_1 | INFO  | c.i.m.c.s.impl.KlineServiceImpl | KlineServiceImpl.java  78||【成交】---> code:BTC_USDT_ICNCDE_ENCRY, trade:{"ask":"3259.73","bid":"3248.29","code":"BTC_USDT_ICNCDE_ENCRY","id":"5262","makerOrderId":1012177408923713536,"price":"3248.29","takerOrderId":1012177409099874304,"timestamp":"1585644605217","type":"S","virtual":0,"volume":"0.1"}
