
|||2020-03-31 16:50:09,608 | ConsumeMessageThread_1 | INFO  | c.i.m.c.s.impl.KlineServiceImpl | KlineServiceImpl.java  78||【成交】---> code:BTC_USDT_ICNCDE_ENCRY, trade:{"ask":"3285.5","bid":"-0.00000001","code":"BTC_USDT_ICNCDE_ENCRY","id":"5233","makerOrderId":1012177390191951872,"price":"3285.5","takerOrderId":1012177394847629312,"timestamp":"1585644601838","type":"B","virtual":0,"volume":"1.2"}
|||2020-03-31 16:50:09,608 | ConsumeMessageThread_1 | INFO  | c.i.m.c.s.impl.KlineServiceImpl | KlineServiceImpl.java  78||【成交】---> code:BTC_USDT_ICNCDE_ENCRY, trade:{"ask":"3285.5","bid":"3202.16","code":"BTC_USDT_ICNCDE_ENCRY","id":"5234","makerOrderId":1012177394864406529,"price":"3202.16","takerOrderId":1012177394864406528,"timestamp":"1585644601862","type":"S","virtual":0,"volume":"1"}
|||2020-03-31 16:50:09,609 | ConsumeMessageThread_1 | INFO  | c.i.m.c.s.impl.KlineServiceImpl | KlineServiceImpl.java  78||【成交】---> code:BTC_USDT_ICNCDE_ENCRY, trade:{"ask":"3278.93","bid":"3202.16","code":"BTC_USDT_ICNCDE_ENCRY","id":"5241","makerOrderId":1012177394881183745,"price":"3278.93","takerOrderId":1012177399109042176,"timestamp":"1585644602844","type":"B","virtual":0,"volume":"0.1"}
|||2020-03-31 16:50:09,609 | ConsumeMessageThread_1 | INFO  | c.i.m.c.s.impl.KlineServiceImpl | KlineServiceImpl.java  78||【成交】---> code:BTC_USDT_ICNCDE_ENCRY, trade:{"ask":"3226.31","bid":"3210.35","code":"BTC_USDT_ICNCDE_ENCRY","id":"5242","makerOrderId":1012177399385866241,"price":"3210.35","takerOrderId":1012177399587192832,"timestamp":"1585644602980","type":"S","virtual":0,"volume":"0.7"}
|||2020-03-31 16:50:09,610 | ConsumeMessageThread_1 | INFO  | c.i.m.c.s.impl.KlineServiceImpl | KlineServiceImpl.java  78||【成交】---> code:BTC_USDT_ICNCDE_ENCRY, trade:{"ask":"3307.24","bid":"3202.16","code":"BTC_USDT_ICNCDE_ENCRY","id":"5249","makerOrderId":1012177395120259075,"price":"3307.24","takerOrderId":1012177403676639232,"timestamp":"1585644604755","type":"B","virtual":0,"volume":"0.3"}
|||2020-03-31 16:50:09,610 | ConsumeMessageThread_1 | INFO  | c.i.m.c.s.impl.KlineServiceImpl | KlineServiceImpl.java  78||【成交】---> code:BTC_USDT_ICNCDE_ENCRY, trade:{"ask":"3307.24","bid":"3202.16","code":"BTC_USDT_ICNCDE_ENCRY","id":"5250","makerOrderId":1012177394864406529,"price":"3202.16","takerOrderId":1012177403672444929,"timestamp":"1585644604755","type":"S","virtual":0,"volume":"0.7"}
|||2020-03-31 16:50:09,611 | ConsumeMessageThread_1 | INFO  | c.i.m.c.s.impl.KlineServiceImpl | KlineServiceImpl.java  78||【成交】---> code:BTC_USDT_ICNCDE_ENCRY, trade:{"ask":"3209.64","bid":"-0.00000001","code":"BTC_USDT_ICNCDE_ENCRY","id":"5257","makerOrderId":1012177403672444928,"price":"3209.64","takerOrderId":1012177407355043840,"timestamp":"1585644604885","type":"B","virtual":0,"volume":"0.4"}
|||2020-03-31 16:50:09,611 | ConsumeMessageThread_1 | INFO  | c.i.m.c.s.impl.KlineServiceImpl | KlineServiceImpl.java  78||【成交】---> code:BTC_USDT_ICNCDE_ENCRY, trade:{"ask":"3330.79","bid":"-0.00000001","code":"BTC_USDT_ICNCDE_ENCRY","id":"5258","makerOrderId":1012177407317295104,"price":"3330.79","takerOrderId":1012177407355043840,"timestamp":"1585644604885","type":"B","virtual":0,"volume":"1.1"}
|||2020-03-31 16:50:09,612 | ConsumeMessageThread_1 | INFO  | c.i.m.c.s.impl.KlineServiceImpl | KlineServiceImpl.java  78||【成交】---> code:BTC_USDT_ICNCDE_ENCRY, trade:{"ask":"3129.92","bid":"-0.00000001","code":"BTC_USDT_ICNCDE_ENCRY","id":"5265","makerOrderId":1012177411960389632,"price":"3129.92","takerOrderId":1012177412040081408,"timestamp":"1585644605931","type":"B","virtual":0,"volume":"0.3"}
|||2020-03-31 16:50:09,612 | ConsumeMessageThread_1 | INFO  | c.i.m.c.s.impl.KlineServiceImpl | KlineServiceImpl.java  78||【成交】---> code:BTC_USDT_ICNCDE_ENCRY, trade:{"ask":"3141.37","bid":"-0.00000001","code":"BTC_USDT_ICNCDE_ENCRY","id":"5266","makerOrderId":1012177411905863680,"price":"3141.37","takerOrderId":1012177412153327616,"timestamp":"1585644605955","type":"B","virtual":0,"volume":"0.1"}
